BAN,BAN,Order ID ,Order ID 
BAN,144652675,Order ID ,1937140350
BAN,146951267,Order ID ,2044569818
BAN,146944682,Order ID ,2071809243
BAN,146952004,Order ID ,2048497077
BAN,146955492,Order ID ,2111560847
BAN,146939272,Order ID ,2068933059
BAN,146762960,Order ID ,2042048523
BAN,146790316,Order ID ,1928309120
BAN,146859485,Order ID ,2095907327
BAN,146651075,Order ID ,1995571926
BAN,146951397,Order ID ,2111722007
BAN,144287600,Order ID ,2043684078
BAN,146953363,Order ID ,2044898066
BAN,146950152,Order ID ,2072194827
BAN,146952122,Order ID ,2043704694
BAN,146950546,Order ID ,2044299938
BAN,146950550,Order ID ,2072122899
BAN,144807426,Order ID ,2043764910
BAN,146918848,Order ID ,1948637936
BAN,146951190,Order ID ,2110578215
BAN,146804591,Order ID ,2086265423
BAN,146954275,Order ID ,2044006926
BAN,146328899,Order ID ,2112137855
BAN,146952843,Order ID ,2045414306
BAN,146951375,Order ID ,2043338358
BAN,146949161,Order ID ,2070670899
BAN,146664634,Order ID ,2000379477
BAN,146956850,Order ID ,2072649219
BAN,146973886,Order ID ,2116435247
BAN,146980300,Order ID ,1959957008
BAN,146855087,Order ID ,2095623959
BAN,144195477,Order ID ,2077694475
BAN,144495384,Order ID ,2112607463
BAN,146999824,Order ID ,2051411358
BAN,145734366,Order ID ,1836082394
BAN,146684238,Order ID ,1999842242
BAN,146816627,Order ID ,2022599862
BAN,145515067,Order ID ,2022102794
BAN,146847152,Order ID ,2055051099
BAN,146853614,Order ID ,1939044776
BAN,147038473,Order ID ,2085826851
BAN,147032998,Order ID ,2126056463
BAN,146579196,Order ID ,2047386263
BAN,146669030,Order ID ,2002078893
BAN,146732644,Order ID ,2006479082
BAN,144769055,Order ID ,1924869198
BAN,146156761,Order ID ,1947021267
BAN,146164660,Order ID ,1948433211
BAN,145611847,Order ID ,1884772420
BAN,146248699,Order ID ,1993996319
BAN,146998203,Order ID ,2056695357
BAN,146792328,Order ID ,2017812798
BAN,146979957,Order ID ,1959233936
BAN,146762833,Order ID ,2017131789
BAN,146785972,Order ID ,2045995755
BAN,146904827,Order ID ,2036814558
BAN,144470592,Order ID ,2129321135
BAN,147056916,Order ID ,1972513760
BAN,146117754,Order ID ,4999101301
BAN,146920538,Order ID ,2039404850
BAN,147061090,Order ID ,2129939543
BAN,146736360,Order ID ,2037595131
BAN,147062235,Order ID ,2068385085
BAN,146847908,Order ID ,2032816749
BAN,146635381,Order ID ,2021770971
BAN,146491969,Order ID ,1966478186
BAN,146723023,Order ID ,2006712510
BAN,147082320,Order ID ,1976743016
BAN,147084623,Order ID ,2064406638
BAN,147084283,Order ID ,2133495527
BAN,146042370,Order ID ,2068108106
BAN,146773822,Order ID ,2015521686
BAN,146744135,Order ID ,2014048341
BAN,147097455,Order ID ,2072790261
BAN,147098639,Order ID ,2070216842
BAN,147102827,Order ID ,2067471678
BAN,144694336,Order ID ,1943638677
BAN,144387323,Order ID ,4999101320
BAN,145746441,Order ID ,4999101360
BAN,146987448,Order ID ,1961025176
BAN,147140336,Order ID ,2081289045
BAN,147143611,Order ID ,1987834904
BAN,147144479,Order ID ,2103232683
BAN,146972494,Order ID ,2119753823
BAN,145746441,Order ID ,#FPS101360 
BAN,144313821,Order ID ,1945742934
BAN,147165501,Order ID ,2084678469
BAN,147164428,Order ID ,2078374110
BAN,147163385,Order ID ,2148187463
BAN,147165233,Order ID ,2084849205
BAN,145260645,Order ID ,2082775730
BAN,146252895,Order ID ,2106603023
BAN,146943252,Order ID ,2069725611
BAN,146311734,Order ID ,#FPS101380 
BAN,147010534,Order ID ,2058098421
BAN,147173987,Order ID ,2150392247
BAN,147121098,Order ID ,2140981895
BAN,147172999,Order ID ,2150792063
BAN,146680149,Order ID ,1910205872
BAN,147178772,Order ID ,2109686763
BAN,146808726,Order ID ,2020535358
BAN,144521586,Order ID ,1995454295
BAN,146852578,Order ID ,2056226691
BAN,147012596,Order ID ,2122172735
BAN,147015474,Order ID ,2053862766
BAN,147013405,Order ID ,2059443765
BAN,146417966,Order ID ,1952958626
BAN,147092347,Order ID ,1978921544
BAN,147097227,Order ID ,2067416598
BAN,147102078,Order ID ,2095949331
BAN,147097861,Order ID ,2096260611
BAN,147102120,Order ID ,1980325736
BAN,146155409,Order ID ,1918925781
BAN,146331617,Order ID ,1851956864
BAN,146332843,Order ID ,1946190314
BAN,146381452,Order ID ,1981148955
BAN,146372969,Order ID ,1946531282
BAN,146313212,Order ID ,1848423344
BAN,145741939,Order ID ,1837245122
BAN,146718121,Order ID ,2006027046
BAN,147108993,Order ID ,2141316383
BAN,145482194,Order ID ,1792292522
BAN,146410563,Order ID ,1951708730
BAN,147060973,Order ID ,2089948779
BAN,147123045,Order ID ,2075189066
BAN,145884121,Order ID ,1883024190
BAN,145897271,Order ID ,2076123147
BAN,147137499,Order ID ,2143224791
BAN,146806929,Order ID ,2020064334
BAN,145260645,Order ID ,2082775730
BAN,147173537,Order ID ,2086319229
BAN,145746441,Order ID , #FPS101360 
BAN,146670319,Order ID ,1963345256
BAN,147178381,Order ID ,2113292643
BAN,147211753,Order ID ,1999484984
BAN,147053695,Order ID ,2062196594
BAN,146299736,Order ID ,1942321437
BAN,147177884,Order ID ,2151136271
